rue_1,rue_2,int_no,borough,acc,pi,acc_rate,ln_acc_rate,all_pedest,fi,fli,fri,fti,cli,cri,cti,ln_pi,ln_fi,ln_fli,ln_fri,ln_fti,ln_cli,ln_cri,ln_cti,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,ln_distdt,traffic_10000,ped_100
Voie serv. A-40 Est,Sortie A-40 Est,1740,Anjou,0,5.08698511123657,0.0,0.0,False,11146.7333984375,0.0,7573.853515625,3572.87915039062,0.0,38528.08203125,0.0,1.6266850233078,9.31890201568604,0.0,8.93245697021484,8.18112659454346,0.0,10.5591430664062,0.0,37.4000015258789,2,18.7000007629395,37.4000015258789,True,False,False,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,5.08698511123657,11146.7333984375,0.0,5,0,False,0,False,False,False,12443.302734375,9.4289379119873,1.11467337608337,0.0508698523044586
Champlain,Gérald,12625,Lasalle,0,4.62313985824585,0.0,0.0,False,11132.23046875,280.682495117188,246.728973388672,10604.8193359375,177.901519775391,570.331359863281,24513.783203125,1.53107404708862,9.31760025024414,5.6372241973877,5.50828981399536,9.26906394958496,5.18123006820679,6.34621810913086,10.106990814209,50.9000015258789,3,17.0,49.7999992370605,False,False,False,False,False,False,False,False,0.0,2.26356911659241,0.0,5498.2080078125,2.31156992912292,384.806671142578,2.31156992912292,5246.9521484375,0.0,2,0,False,0,False,False,False,7529.126953125,8.92653465270996,1.1132230758667,0.0462314002215862
Bridge,Chemin-des-Irlandais,1548,Sud-Ouest,0,1.65953600406647,0.0,0.0,False,35766.421875,671.687133789062,5111.06201171875,29983.673828125,30.4559841156006,0.0,49758.98828125,0.506537973880768,10.4847650527954,6.50979280471802,8.53916263580322,10.3084077835083,3.41628289222717,0.0,10.8149461746216,60.2999992370605,3,20.1000003814697,23.5,True,False,True,True,False,True,True,True,0.0,17214.27734375,0.0,1833.37561035156,0.0,16718.771484375,1.65953600406647,0.0,0.0,5,1,True,0,False,False,True,2598.419921875,7.86265897750854,3.57664227485657,0.0165953598916531
Hochelaga,Polyvalente Edouard-Montpetit,962,Mercier-Hochelaga-Maisonneuve,0,5.64492511749268,0.0,0.0,False,14683.734375,1.99642896652222,0.0,14681.73828125,3.75656390190125,0.0,55251.54296875,1.73075699806213,9.59449577331543,0.691359996795654,0.0,9.5943603515625,1.32350504398346,0.0,10.9196519851685,41.9000015258789,2,21.0,37.7999992370605,False,False,False,False,False,False,True,True,0.0,1.99642896652222,1.8816419839859,8392.9873046875,1.8816419839859,0.0,0.0,6288.7509765625,1.8816419839859,6,0,False,0,False,False,False,8754.9892578125,9.07737922668457,1.46837341785431,0.0564492493867874
Saint-Patrick,5870 (Sidbec-Dosco),1556,Sud-Ouest,0,7.52656698226929,0.0,0.0,False,9135.6591796875,249.553619384766,217.610748291016,8668.494140625,1048.08129882812,762.58251953125,16311.0009765625,2.01843905448914,9.11994075775146,5.5196738243103,5.38270807266235,9.06744956970215,6.95471620559692,6.63671112060547,9.69959545135498,42.9000015258789,3,14.3000001907349,28.8999996185303,False,False,False,False,False,False,False,False,0.0,0.0,0.0,4761.48291015625,1.8816419839859,187.664321899414,5.64492511749268,4186.51171875,0.0,2,0,False,2,False,False,False,5202.576171875,8.55690956115723,0.913565933704376,0.0752656683325768
Hicmore,Liesse Montée de,15238,Saint-Laurent,0,11.3716678619385,0.0,0.0,True,13657.125,3179.94873046875,3356.18212890625,7120.99365234375,11577.6630859375,1969.46118164062,34704.67578125,2.4311249256134,9.52201652526855,8.06462001800537,8.11855888366699,8.8708028793335,9.35683345794678,7.58551502227783,10.4546298980713,86.5999984741211,4,21.7000007629395,41.9000015258789,False,False,False,True,True,False,False,False,0.0,3516.92260742188,3.24904799461365,4531.71728515625,4.87357187271118,0.0,3.24904799461365,5608.484375,0.0,4,1,True,0,False,False,False,10286.57421875,9.2385950088501,1.36571252346039,0.113716676831245
Crémazie,Jarry inter. Sud,1480,Villeray-Saint-Michel-Parc-Extension,0,3.91756796836853,0.0,0.0,False,29943.65625,0.0,0.0,29943.65625,0.0,0.0,71464.3984375,1.36547100543976,10.3070726394653,0.0,0.0,10.3070726394653,0.0,0.0,11.1769552230835,21.2999992370605,1,21.2999992370605,51.7000007629395,True,False,False,False,False,False,True,True,0.0,6190.22314453125,0.0,0.0,0.0,5511.39990234375,0.0,18242.033203125,3.91756796836853,5,0,False,0,True,False,False,7020.0029296875,8.85651874542236,2.99436569213867,0.0391756780445576
Thimens,3000 garage STM,1680,Saint-Laurent,0,17.3160285949707,0.0,0.0,False,8868.0400390625,203.650177001953,122.19010925293,8542.19921875,2244.08056640625,1346.44836425781,53787.9921875,2.85163307189941,9.09020900726318,5.31640386581421,4.80557823181152,9.05277442932129,7.71605110168457,7.20522594451904,10.8928060531616,46.2999992370605,4,11.6000003814697,34.2999992370605,False,False,False,False,False,True,True,True,0.0,5183.82275390625,0.0,0.0,11.0192909240723,3684.216796875,6.2967381477356,0.0,0.0,3,0,False,0,False,False,False,12900.505859375,9.46502208709717,0.886803984642029,0.173160284757614
Lapierre,Saint-Patrick,9684,Lasalle,0,6.35319900512695,0.0,0.0,False,14447.1923828125,2622.59716796875,3155.91357421875,8668.6826171875,5600.5341796875,9186.7392578125,0.0,1.84895801544189,9.57825469970703,7.87192010879517,8.05703258514404,9.06747245788574,8.63061714172363,9.12551593780518,0.0,46.2999992370605,3,15.3999996185303,41.7999992370605,False,False,False,False,False,True,True,True,0.0,0.0,0.0,6225.68994140625,0.0,3450.978515625,6.35319900512695,4770.5244140625,0.0,3,1,True,2,False,False,False,8014.88916015625,8.98905658721924,1.44471919536591,0.0635319873690605
Côte-Vertu,Pitfield,13295,Saint-Laurent,0,1.6421400308609,0.0,0.0,False,23232.802734375,1135.93017578125,1024.48779296875,21072.384765625,3.21059608459473,44.9483489990234,34603.80859375,0.495999991893768,10.0533199310303,7.03520679473877,6.93194818496704,9.95571899414062,1.16645705699921,3.80551409721375,10.4517192840576,87.4000015258789,4,21.8999996185303,57.4000015258789,True,False,False,False,False,False,False,False,0.0,993.205749511719,0.0,12260.6162109375,0.0,105.576988220215,0.0,9873.4033203125,1.6421400308609,6,0,False,2,False,False,False,12080.810546875,9.39937400817871,2.32328033447266,0.0164214000105858
